name,avg. time
Admiralty,48.2
Aljunied,41.5
Ang Mo Kio,39.4
Bakau,61.2
Bangkit,62.7
Bartley,37.4
Bayfront,40.9
Beauty World,44.7
Bedok,49.2
Bedok North,50.7
Bedok Reservoir,53.2
Bencoolen,45.0
Bendemeer,45.9
Bishan,33.9
Boon Keng,39.5
Boon Lay,52.5
Botanic Gardens,33.2
Braddell,38.5
Bras Basah,41.9
Bright Hill,41.8
Buangkok,45.5
Bugis,35.6
Bukit Batok,49.0
Bukit Gombak,50.4
Bukit Panjang,50.8
Buona Vista,37.1
Caldecott,33.9
Canberra,45.9
Cashew,50.4
Changi Airport,62.0
Chinatown,38.2
Chinese Garden,47.1
Choa Chu Kang,50.0
City Hall,37.1
Clarke Quay,37.8
Clementi,42.9
Commonwealth,40.5
Compassvale,55.5
Coral Edge,64.0
Cove,58.3
Dakota,42.8
Dhoby Ghaut,35.6
Dover,41.3
Downtown,42.3
Esplanade,42.9
Eunos,44.1
Expo,58.6
Fajar,65.5
Farrer Park,38.4
Farrer Road,36.4
Fort Canning,43.5
Geylang Bahru,46.0
Great World,40.8
Gul Circle,60.9
HarbourFront,41.3
Havelock,40.4
Haw Par Villa,45.5
Hillview,48.8
Holland Village,37.7
Hougang,43.0
Hume,46.8
Jalan Besar,45.7
Jelapang,71.3
Joo Koon,58.1
Jurong East,43.5
Kadaloor,69.9
Kaki Bukit,48.2
Kallang,40.8
Kangkar,64.2
Keat Hong,57.1
Kembangan,46.6
Kent Ridge,43.8
Khatib,43.0
King Albert Park,42.5
Kovan,40.6
Kranji,50.4
Labrador Park,46.4
Lakeside,49.8
Lavender,39.8
Lentor,45.6
Little India,34.1
Lorong Chuan,35.8
MacPherson,39.2
Marina Bay,41.9
Marina South Pier,46.1
Marsiling,49.6
Marymount,35.2
Mattar,45.0
Maxwell,42.0
Mayflower,43.9
Meridian,61.1
Mount Pleasant,38.0
Mountbatten,43.8
Napier,39.8
Newton,34.5
Nicoll Highway,43.2
Novena,38.8
One-North,41.5
Orchard,37.2
Orchard Boulevard,40.8
Outram Park,36.1
Pasir Panjang,46.3
Pasir Ris,59.6
Paya Lebar,39.2
Pending,59.8
Petir,57.1
Phoenix,55.7
Pioneer,55.3
Potong Pasir,39.9
Promenade,38.7
Punggol,50.7
Queenstown,41.0
Raffles Place,38.4
Ranggung,58.4
Redhill,40.8
Riviera,66.9
Rochor,36.7
Rumbia,67.1
Segar,68.4
Sembawang,47.2
Sengkang,47.9
Senja,74.3
Serangoon,35.0
Shenton Way,44.3
Simei,54.2
Sixth Avenue,40.3
Somerset,38.8
South View,56.0
Springleaf,47.1
Stadium,43.9
Stevens,34.9
Tai Seng,38.5
Tampines,55.8
Tampines East,60.5
Tampines West,55.7
Tan Kah Kee,38.1
Tanah Merah,51.6
Tanjong Pagar,40.1
Teck Whye,56.8
Telok Ayer,42.2
Telok Blangah,46.2
Tiong Bahru,40.2
Toa Payoh,39.1
Tuas Crescent,63.8
Tuas Link,69.7
Tuas West Road,66.7
Ubi,45.7
Upper Changi,62.6
Upper Thomson,39.5
Woodlands,47.3
Woodlands North,52.7
Woodlands South,48.5
Woodleigh,39.4
Yew Tee,50.8
Yio Chu Kang,41.4
Yishun,44.5
